symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
EEM,56.59,WEAK BUY,2,25.0,2,0,-1.12,25.77,25.77,25.77,32.6,12-1mo return: +31.2% | MACD bullish crossover,0,1,0,1,0,0,0,0
SOYB,24.35,WEAK BUY,2,25.0,3,1,0.04,11.8,11.8,11.8,18.6,Price > SMA50 > SMA200 (uptrend) | RSI=42.0 (bullish zone) | MACD line below signal,1,0,1,-1,0,0,0,1
VEA,64.64,WEAK BUY,2,25.0,2,0,-0.77,20.14,20.14,20.14,26.7,12-1mo return: +25.0% | MACD line above signal,0,1,0,1,0,0,0,0
EFA,98.0,NEUTRAL,1,12.5,2,1,-0.62,14.46,14.46,14.46,25.2,12-1mo return: +18.4% | MACD line above signal | Near upper band (BB%=0.66),0,1,0,1,-1,0,0,0
KWEB,28.09,WEAK BUY,2,25.0,3,1,-0.74,-11.57,-11.57,-11.57,29.7,Price < SMA50 < SMA200 (downtrend) | RSI=34.0 (bullish zone) | MACD line above signal,-1,0,1,1,1,0,0,0
FXI,35.56,NEUTRAL,1,12.5,2,1,0.0,2.34,2.34,2.34,23.0,Price < SMA50 < SMA200 (downtrend) | RSI=44.2 (bullish zone) | MACD line above signal,-1,0,1,1,0,0,0,0
EWJ,85.29,NEUTRAL,0,0.0,2,2,-1.38,20.49,20.49,20.49,29.6,12-1mo return: +25.2% | RSI=55.0 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
EWG,39.9,NEUTRAL,1,12.5,1,0,-0.75,-3.07,-3.07,-3.07,28.1,MACD line above signal,0,0,0,1,0,0,0,0
EWZ,38.35,NEUTRAL,1,12.5,3,2,-0.05,45.97,45.97,45.97,37.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +42.7% | RSI=66.1 (bearish zone),1,1,-1,1,-1,0,0,0
EWC,55.32,WEAK BUY,2,25.0,2,0,0.25,25.47,25.47,25.47,19.8,12-1mo return: +30.4% | MACD bullish crossover,0,1,0,1,0,0,0,0
EWA,28.1,NEUTRAL,0,0.0,1,1,0.04,13.17,13.17,13.17,28.2,12-1mo return: +18.2% | MACD line below signal,0,1,0,-1,0,0,0,0
EWU,46.23,NEUTRAL,0,0.0,2,2,-0.26,20.85,20.85,20.85,22.4,12-1mo return: +23.5% | RSI=55.4 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
EWT,70.77,NEUTRAL,0,0.0,1,1,-1.32,40.01,40.01,40.01,34.5,12-1mo return: +41.7% | MACD line below signal,0,1,0,-1,0,0,0,0
EWH,23.16,NEUTRAL,0,0.0,2,2,-0.39,28.27,28.27,28.27,21.4,12-1mo return: +29.1% | RSI=55.5 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
EWS,28.29,WEAK BUY,2,25.0,4,2,-0.67,14.04,14.04,14.04,22.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.9% | RSI=61.7 (bearish zone),1,1,-1,1,-1,0,0,1
EWI,54.31,NEUTRAL,-1,12.5,2,3,-0.37,17.68,17.68,17.68,28.5,12-1mo return: +18.2% | RSI=59.4 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,-1,0
EWP,54.86,NEUTRAL,-1,12.5,2,3,-0.15,30.57,30.57,30.57,26.7,12-1mo return: +30.1% | RSI=61.3 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,-1,0
UVXY,50.53,WEAK SELL,-2,25.0,0,2,0.02,-54.74,-54.74,-54.74,156.3,12-1mo return: -63.6% | MACD line below signal,0,-1,0,-1,0,0,0,0
EWQ,43.75,NEUTRAL,-1,12.5,1,2,-0.23,5.18,5.18,5.18,25.3,RSI=55.7 (bearish zone) | MACD line above signal | Near upper band (BB%=0.68),0,0,-1,1,-1,0,0,0
EWL,58.95,WEAK BUY,2,25.0,2,0,-0.92,9.4,9.4,9.4,21.7,12-1mo return: +16.1% | MACD line above signal,0,1,0,1,0,0,0,0
TQQQ,43.33,NEUTRAL,-1,12.5,2,3,0.23,24.01,24.01,24.01,68.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +43.6% | RSI=44.4 (bullish zone),-1,1,1,-1,0,0,0,-1
SPXU,55.33,WEAK SELL,-2,25.0,0,2,-0.18,-25.23,-25.23,-25.23,56.3,12-1mo return: -33.6% | MACD bearish crossover,0,-1,0,-1,0,0,0,0
VXX,34.7,WEAK SELL,-2,25.0,0,2,-0.09,-35.2,-35.2,-35.2,100.2,12-1mo return: -45.0% | MACD line below signal,0,-1,0,-1,0,0,0,0
EWY,122.87,NEUTRAL,1,12.5,2,1,-2.65,103.28,103.28,103.28,68.4,12-1mo return: +122.3% | MACD line below signal | Near lower band (BB%=0.29),0,1,0,-1,1,0,0,0
UPRO,99.38,WEAK BUY,2,25.0,2,0,0.21,25.34,25.34,25.34,56.3,12-1mo return: +44.2% | MACD bullish crossover,0,1,0,1,0,0,0,0
SQQQ,77.29,NEUTRAL,0,0.0,1,1,-0.21,-30.48,-30.48,-30.48,68.2,12-1mo return: -37.9% | MACD line above signal,0,-1,0,1,0,0,0,0
ARKK,68.56,NEUTRAL,-1,12.5,1,2,0.23,21.09,21.09,21.09,42.5,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +32.3% | MACD line below signal,-1,1,0,-1,0,0,0,0
SOXL,52.75,WEAK BUY,2,25.0,2,0,0.94,207.74,207.74,207.74,133.0,12-1mo return: +230.3% | MACD bullish crossover,0,1,0,1,0,0,0,0
ARKQ,114.9,NEUTRAL,0,0.0,1,1,0.34,43.51,43.51,43.51,41.4,12-1mo return: +53.3% | MACD line below signal,0,1,0,-1,0,0,0,0
ARKF,38.07,NEUTRAL,0,0.0,2,2,0.34,-6.91,-6.91,-6.91,38.7,Price < SMA50 < SMA200 (downtrend) | RSI=42.6 (bullish zone) | MACD line below signal,-1,0,1,-1,1,0,0,0
ICLN,18.05,NEUTRAL,0,0.0,1,1,-1.1,45.79,45.79,45.79,35.3,12-1mo return: +46.1% | MACD line below signal,0,1,0,-1,0,0,0,0
SOXS,35.93,WEAK SELL,-2,25.0,2,4,-0.91,-84.73,-84.73,-84.73,135.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -83.7% | RSI=43.1 (bullish zone),-1,-1,1,-1,1,0,0,-1
ARKW,121.6,NEUTRAL,1,12.5,3,2,0.26,2.62,2.62,2.62,38.8,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +10.4% | RSI=44.2 (bullish zone),-1,1,1,-1,1,0,0,0
ROBO,69.24,NEUTRAL,0,0.0,1,1,-1.28,22.52,22.52,22.52,33.9,12-1mo return: +33.2% | MACD line below signal,0,1,0,-1,0,0,0,0
ARKG,27.36,NEUTRAL,0,0.0,2,2,1.0,30.16,30.16,30.16,46.6,12-1mo return: +40.4% | RSI=56.2 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
QCLN,46.51,WEAK BUY,2,25.0,2,0,-0.81,52.85,52.85,52.85,47.7,12-1mo return: +58.3% | MACD bullish crossover,0,1,0,1,0,0,0,0
AIQ,47.27,NEUTRAL,0,0.0,1,1,-0.15,17.09,17.09,17.09,30.7,12-1mo return: +23.7% | MACD line below signal,0,1,0,-1,0,0,0,0
TAN,54.85,NEUTRAL,0,0.0,1,1,-2.52,71.78,71.78,71.78,36.7,12-1mo return: +71.8% | MACD line below signal,0,1,0,-1,0,0,0,0
BOTZ,33.4,WEAK BUY,2,25.0,3,1,-1.47,7.4,7.4,7.4,31.0,12-1mo return: +19.4% | RSI=41.9 (bullish zone) | MACD line below signal,0,1,1,-1,1,0,0,0
CIBR,64.19,NEUTRAL,0,0.0,1,1,1.65,-9.11,-9.11,-9.11,24.3,Price < SMA50 < SMA200 (downtrend) | MACD bullish crossover,-1,0,0,1,0,0,0,0
HACK,77.17,NEUTRAL,-1,12.5,0,1,1.31,-4.55,-4.55,-4.55,28.1,MACD line below signal,0,0,0,-1,0,0,0,0
BTC-USD,66843.8047,NEUTRAL,-1,12.5,2,3,-0.07,-36.73,-36.73,-36.73,35.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -39.8% | RSI=38.5 (bullish zone),-1,-1,1,-1,1,0,0,0
SOL-USD,79.8475,WEAK SELL,-2,25.0,2,4,1.14,-52.07,-52.07,-52.07,49.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -52.3% | RSI=31.8 (bullish zone),-1,-1,1,-1,1,0,0,-1
BUG,25.64,NEUTRAL,1,12.5,3,2,1.18,-25.63,-25.63,-25.63,28.5,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -24.5% | RSI=41.8 (bullish zone),-1,-1,1,1,0,1,0,0
ETH-USD,2050.7668,NEUTRAL,0,0.0,2,2,-0.3,-22.1,-22.1,-22.1,54.4,12-1mo return: -44.1% | RSI=42.5 (bullish zone) | MACD line below signal,0,-1,1,-1,1,0,0,0
DOGE-USD,0.0914,NEUTRAL,-1,12.5,2,3,1.12,-57.46,-57.46,-57.46,42.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -59.3% | RSI=43.7 (bullish zone),-1,-1,1,-1,1,0,0,0
AVAX-USD,8.994,NEUTRAL,-1,12.5,2,3,2.77,-59.57,-59.57,-59.57,53.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=41.6 (bullish zone),-1,-1,1,-1,1,0,0,0
XRP-USD,1.3166,NEUTRAL,-1,12.5,2,3,-0.16,-41.34,-41.34,-41.34,39.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -55.8% | RSI=27.7 (oversold),-1,-1,1,-1,1,0,0,0
ADA-USD,0.2466,NEUTRAL,-1,12.5,2,3,3.01,-65.87,-65.87,-65.87,54.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.6% | RSI=39.6 (bullish zone),-1,-1,1,-1,1,0,0,0
BNB-USD,587.2462,NEUTRAL,-1,12.5,2,3,0.7,-13.02,-13.02,-13.02,28.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -17.3% | RSI=28.5 (oversold),-1,-1,1,-1,1,0,0,0
DOT-USD,1.249,NEUTRAL,-1,12.5,2,3,1.03,-71.23,-71.23,-71.23,59.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -64.5% | RSI=10.8 (oversold),-1,-1,1,-1,1,0,0,0
LINK-USD,8.7027,NEUTRAL,-1,12.5,2,3,0.86,-42.14,-42.14,-42.14,49.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -50.6% | RSI=43.2 (bullish zone),-1,-1,1,-1,1,0,0,0
BABA,122.05,BUY,4,50.0,4,0,-1.36,5.92,5.92,5.92,40.1,12-1mo return: +15.7% | RSI=33.2 (bullish zone) | MACD line above signal,0,1,1,1,1,0,0,0
ATOM-USD,1.6926,NEUTRAL,-1,12.5,2,3,1.63,-63.31,-63.31,-63.31,38.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=30.2 (bullish zone),-1,-1,1,-1,1,0,0,0
UNI7083-USD,3.2007,WEAK SELL,-2,25.0,2,4,0.85,-51.19,-51.19,-51.19,61.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -62.0% | RSI=35.0 (bullish zone),-1,-1,1,-1,1,0,0,-1
FIL-USD,0.8404,WEAK SELL,-2,25.0,2,4,2.91,-69.56,-69.56,-69.56,68.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.3% | RSI=41.1 (bullish zone),-1,-1,1,-1,1,0,0,-1
LTC-USD,52.9009,NEUTRAL,-1,12.5,2,3,1.23,-43.17,-43.17,-43.17,36.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -51.5% | RSI=37.0 (bullish zone),-1,-1,1,-1,1,0,0,0
JD,28.46,NEUTRAL,0,0.0,1,1,-1.42,-13.6,-13.6,-13.6,42.6,12-1mo return: -22.9% | MACD line above signal,0,-1,0,1,0,0,0,0
LI,18.47,SELL,-3,37.5,1,4,0.49,-35.17,-35.17,-35.17,43.4,12-1mo return: -39.5% | RSI=60.3 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
NIO,6.3,NEUTRAL,-1,12.5,2,3,1.61,71.2,71.2,71.2,83.8,12-1mo return: +31.5% | RSI=57.6 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,-1,0
TCOM,50.48,NEUTRAL,1,12.5,3,2,1.39,-21.81,-21.81,-21.81,25.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -21.2% | RSI=41.7 (bullish zone),-1,-1,1,1,1,0,0,0
