symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
AAPL,255.92,NEUTRAL,1,12.5,2,1,0.11,28.38,28.38,28.38,19.9,12-1mo return: +31.7% | RSI=59.4 (bearish zone) | MACD line above signal,0,1,-1,1,0,0,0,0
AMGN,347.94,WEAK BUY,2,25.0,3,1,-1.51,25.45,25.45,25.45,19.2,12-1mo return: +36.8% | RSI=28.4 (oversold) | MACD line below signal,0,1,1,-1,1,0,0,0
BA,208.22,NEUTRAL,0,0.0,1,1,0.43,0.02,0.02,0.02,44.1,MACD line above signal | 5d rally 9.3% + RSI=68 (fade setup),0,0,0,1,0,0,-1,0
AXP,300.18,NEUTRAL,0,0.0,1,1,-0.11,2.69,2.69,2.69,20.4,Price < SMA50 < SMA200 (downtrend) | MACD line above signal,-1,0,0,1,0,0,0,0
CRM,187.18,NEUTRAL,1,12.5,3,2,0.5,-29.53,-29.53,-29.53,36.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -27.3% | RSI=43.4 (bullish zone),-1,-1,1,1,1,0,0,0
CAT,717.22,NEUTRAL,1,12.5,3,2,-1.79,105.69,105.69,105.69,40.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +109.9% | RSI=56.0 (bearish zone),1,1,-1,1,-1,0,0,0
DIS,96.61,NEUTRAL,1,12.5,2,1,0.05,-12.8,-12.8,-12.8,19.1,Price < SMA50 < SMA200 (downtrend) | RSI=41.0 (bullish zone) | MACD bullish crossover,-1,0,1,1,0,0,0,0
CVX,198.97,WEAK BUY,2,25.0,3,1,0.79,48.95,48.95,48.95,26.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +39.3% | MACD line below signal,1,1,0,-1,0,0,1,0
CSCO,79.02,NEUTRAL,1,12.5,2,1,1.95,28.21,28.21,28.21,28.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +30.5% | MACD line below signal,1,1,0,-1,0,0,0,0
IBM,248.16,NEUTRAL,-1,12.5,1,2,2.06,-2.34,-2.34,-2.34,29.0,Price < SMA50 < SMA200 (downtrend) | MACD line above signal | 5d rally 5.0% + RSI=71 (fade setup),-1,0,0,1,0,0,-1,0
DOW,41.4,NEUTRAL,1,12.5,3,2,1.74,53.53,53.53,53.53,49.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +19.9% | RSI=69.9 (bearish zone),1,1,-1,1,-1,0,0,0
HON,229.45,NEUTRAL,1,12.5,2,1,0.55,9.86,9.86,9.86,20.4,12-1mo return: +17.8% | RSI=41.3 (bullish zone) | MACD line below signal,0,1,1,-1,0,0,0,0
HD,321.63,WEAK BUY,2,25.0,3,1,-2.41,-10.46,-10.46,-10.46,25.7,Price < SMA50 < SMA200 (downtrend) | RSI=36.4 (bullish zone) | MACD line above signal,-1,0,1,1,1,0,0,0
JPM,294.6,NEUTRAL,-1,12.5,2,3,-0.26,13.02,13.02,13.02,21.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +14.9% | RSI=63.7 (bearish zone),-1,1,-1,1,-1,0,0,0
INTC,50.38,NEUTRAL,0,0.0,3,3,4.89,148.79,148.79,148.79,74.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +125.1% | RSI=59.4 (bearish zone),1,1,-1,1,-1,0,-1,0
JNJ,243.04,BUY,3,37.5,4,1,-0.44,61.28,61.28,61.28,13.1,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +62.8% | MACD line above signal,1,1,0,1,-1,0,0,1
GS,863.04,NEUTRAL,0,0.0,2,2,0.33,45.64,45.64,45.64,31.1,12-1mo return: +46.4% | RSI=75.0 (overbought) | MACD line above signal,0,1,-1,1,-1,0,0,0
MMM,144.47,WEAK BUY,2,25.0,3,1,-0.54,-2.15,-2.15,-2.15,29.0,Price < SMA50 < SMA200 (downtrend) | RSI=37.3 (bullish zone) | MACD line above signal,-1,0,1,1,1,0,0,0
MCD,307.14,NEUTRAL,1,12.5,2,1,-0.05,0.76,0.76,0.76,16.8,RSI=24.0 (oversold) | MACD line below signal | Near lower band (BB%=0.25),0,0,1,-1,1,0,0,0
PG,143.12,NEUTRAL,1,12.5,2,1,-0.67,-13.3,-13.3,-13.3,17.2,RSI=27.3 (oversold) | MACD line below signal | Near lower band (BB%=0.26),0,0,1,-1,1,0,0,0
KO,76.72,BUY,4,50.0,4,0,0.84,10.43,10.43,10.43,12.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +11.6% | MACD bullish crossover,1,1,0,1,0,0,0,1
MSFT,373.46,NEUTRAL,-1,12.5,2,3,1.11,-18.11,-18.11,-18.11,21.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -11.1% | RSI=33.8 (bullish zone),-1,-1,1,-1,1,0,0,0
NKE,44.19,NEUTRAL,0,0.0,3,3,-0.99,-26.27,-26.27,-26.27,58.1,Price < SMA50 < SMA200 (downtrend) | RSI=22.0 (oversold) | MACD line below signal,-1,0,1,-1,1,-1,1,0
V,300.8,NEUTRAL,1,12.5,3,2,0.77,-16.52,-16.52,-16.52,20.1,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -11.1% | RSI=42.9 (bullish zone),-1,-1,1,1,1,0,0,0
MRK,120.87,NEUTRAL,1,12.5,3,2,0.02,63.95,63.95,63.95,15.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +62.0% | RSI=72.7 (overbought),1,1,-1,1,-1,0,0,0
VZ,49.4,BUY,4,50.0,5,1,0.02,19.89,19.89,19.89,14.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +24.3% | RSI=32.3 (bullish zone),1,1,1,-1,1,0,0,1
TRV,293.99,NEUTRAL,1,12.5,2,1,1.19,8.83,8.83,8.83,16.9,12-1mo return: +15.1% | RSI=38.6 (bullish zone) | MACD line below signal,0,1,1,-1,0,0,0,0
SPY,655.83,WEAK BUY,2,25.0,2,0,0.09,12.42,12.42,12.42,18.7,12-1mo return: +17.1% | MACD bullish crossover,0,1,0,1,0,0,0,0
DIA,465.06,WEAK BUY,2,25.0,2,0,-0.09,11.66,11.66,11.66,16.6,12-1mo return: +16.9% | MACD line above signal,0,1,0,1,0,0,0,0
IWM,251.29,NEUTRAL,0,0.0,2,2,0.69,23.23,23.23,23.23,25.2,12-1mo return: +28.1% | RSI=55.3 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
UNH,277.26,NEUTRAL,0,0.0,1,1,1.2,-4.39,-4.39,-4.39,27.2,Price < SMA50 < SMA200 (downtrend) | MACD bullish crossover,-1,0,0,1,0,0,0,0
VT,139.37,WEAK BUY,2,25.0,2,0,-0.23,14.93,14.93,14.93,21.4,12-1mo return: +19.5% | MACD line above signal,0,1,0,1,0,0,0,0
WMT,125.79,BUY,3,37.5,4,1,0.84,30.38,30.38,30.38,16.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +32.2% | MACD line above signal,1,1,0,1,-1,0,0,1
XLE,59.25,NEUTRAL,0,0.0,2,2,0.47,48.68,48.68,48.68,22.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +40.1% | RSI=59.7 (bearish zone),1,1,-1,-1,0,0,0,0
XLF,49.53,WEAK SELL,-2,25.0,1,3,0.18,-1.09,-1.09,-1.09,16.7,Price < SMA50 < SMA200 (downtrend) | RSI=58.7 (bearish zone) | MACD line above signal,-1,0,-1,1,-1,0,0,0
VTI,323.76,WEAK BUY,2,25.0,2,0,0.16,12.91,12.91,12.91,19.2,12-1mo return: +17.6% | MACD bullish crossover,0,1,0,1,0,0,0,0
XLK,135.99,NEUTRAL,0,0.0,1,1,0.8,18.09,18.09,18.09,28.3,12-1mo return: +21.3% | MACD line below signal,0,1,0,-1,0,0,0,0
QQQ,584.98,NEUTRAL,0,0.0,1,1,0.11,13.06,13.06,13.06,22.7,12-1mo return: +17.9% | MACD line below signal,0,1,0,-1,0,0,0,0
ITOT,143.68,WEAK BUY,2,25.0,2,0,0.16,12.77,12.77,12.77,19.2,12-1mo return: +17.4% | MACD bullish crossover,0,1,0,1,0,0,0,0
SCHB,25.33,WEAK BUY,2,25.0,2,0,0.12,12.75,12.75,12.75,19.3,12-1mo return: +17.4% | MACD bullish crossover,0,1,0,1,0,0,0,0
XLV,146.81,BUY,3,37.5,3,0,-0.62,12.9,12.9,12.9,15.7,12-1mo return: +20.3% | RSI=42.9 (bullish zone) | MACD line above signal,0,1,1,1,0,0,0,0
XLI,163.77,NEUTRAL,0,0.0,1,1,-0.4,16.29,16.29,16.29,22.2,12-1mo return: +24.6% | MACD line below signal,0,1,0,-1,0,0,0,0
XLB,50.41,NEUTRAL,0,0.0,2,2,-0.1,19.07,19.07,19.07,19.8,12-1mo return: +22.1% | RSI=59.5 (bearish zone) | MACD line above signal,0,1,-1,1,-1,0,0,0
XLC,111.7,NEUTRAL,1,12.5,2,1,0.41,11.99,11.99,11.99,18.1,12-1mo return: +18.7% | RSI=42.5 (bullish zone) | MACD line below signal,0,1,1,-1,0,0,0,0
QUAL,193.16,WEAK BUY,2,25.0,2,0,0.2,10.28,10.28,10.28,18.8,12-1mo return: +15.9% | MACD bullish crossover,0,1,0,1,0,0,0,0
XLY,108.15,WEAK BUY,2,25.0,3,1,-1.5,1.41,1.41,1.41,25.4,Price < SMA50 < SMA200 (downtrend) | RSI=44.5 (bullish zone) | MACD line above signal,-1,0,1,1,1,0,0,0
XLU,46.34,WEAK BUY,2,25.0,3,1,0.5,17.55,17.55,17.55,17.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +19.1% | MACD line below signal,1,1,0,-1,0,0,0,1
XLRE,41.61,NEUTRAL,1,12.5,1,0,1.61,3.28,3.28,3.28,17.5,MACD bullish crossover,0,0,0,1,0,0,0,0
VTV,196.99,WEAK BUY,2,25.0,2,0,0.16,17.59,17.59,17.59,12.2,12-1mo return: +21.7% | MACD line above signal,0,1,0,1,0,0,0,0
USMV,93.36,NEUTRAL,0,0.0,1,1,0.74,2.0,2.0,2.0,11.1,RSI=42.3 (bullish zone) | MACD line below signal,0,0,1,-1,0,0,0,0
MTUM,245.85,NEUTRAL,1,12.5,1,0,0.25,7.6,7.6,7.6,29.2,MACD bullish crossover,0,0,0,1,0,0,0,0
XLP,81.89,NEUTRAL,0,0.0,1,1,0.53,2.49,2.49,2.49,12.3,RSI=32.7 (bullish zone) | MACD line below signal,0,0,1,-1,0,0,0,0
DGRO,70.31,WEAK BUY,2,25.0,2,0,0.16,15.89,15.89,15.89,12.0,12-1mo return: +20.1% | MACD line above signal,0,1,0,1,0,0,0,0
NOBL,105.93,BUY,3,37.5,3,0,-0.04,8.08,8.08,8.08,12.1,12-1mo return: +14.3% | RSI=44.4 (bullish zone) | MACD line above signal,0,1,1,1,0,0,0,0
SHY,82.36,BUY,3,37.5,3,0,0.05,3.21,3.21,3.21,2.1,Price > SMA50 > SMA200 (uptrend) | MACD line above signal | Low ATR 0.16% — steady uptrend,1,0,0,1,0,0,0,1
TLT,86.79,NEUTRAL,1,12.5,1,0,0.61,4.93,4.93,4.93,13.4,MACD bullish crossover,0,0,0,1,0,0,0,0
BIL,91.42,NEUTRAL,1,12.5,3,2,0.02,3.35,3.35,3.35,0.2,Price > SMA50 > SMA200 (uptrend) | RSI=94.9 (overbought) | MACD bullish crossover,1,0,-1,1,-1,0,0,1
TIPS,0.0006,NEUTRAL,0,0.0,3,3,-25.0,-98.29,-98.29,-98.29,356.8,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -95.7% | RSI=33.3 (bullish zone),-1,-1,1,1,1,0,0,-1
IEF,95.26,NEUTRAL,1,12.5,1,0,0.23,4.61,4.61,4.61,6.8,MACD bullish crossover,0,0,0,1,0,0,0,0
VUG,442.03,NEUTRAL,1,12.5,2,1,0.11,7.36,7.36,7.36,25.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: +12.6% | MACD bullish crossover,-1,1,0,1,0,0,0,0
COWZ,62.53,WEAK BUY,2,25.0,2,0,0.32,18.86,18.86,18.86,10.4,12-1mo return: +22.0% | MACD bullish crossover,0,1,0,1,0,0,0,0
LQD,109.12,NEUTRAL,-1,12.5,1,2,0.42,5.8,5.8,5.8,9.5,RSI=58.8 (bearish zone) | MACD line above signal | Near upper band (BB%=0.71),0,0,-1,1,-1,0,0,0
HYG,79.56,NEUTRAL,-1,12.5,1,2,0.24,5.53,5.53,5.53,8.0,RSI=57.5 (bearish zone) | MACD line above signal | Near upper band (BB%=0.79),0,0,-1,1,-1,0,0,0
BND,73.58,NEUTRAL,1,12.5,1,0,0.22,5.01,5.01,5.01,5.8,MACD line above signal,0,0,0,1,0,0,0,0
AGG,99.23,NEUTRAL,1,12.5,1,0,0.23,5.12,5.12,5.12,5.9,MACD line above signal,0,0,0,1,0,0,0,0
USO,137.92,NEUTRAL,0,0.0,3,3,11.15,105.27,105.27,105.27,86.3,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +36.3% | RSI=62.5 (bearish zone),1,1,-1,1,-1,0,-1,0
PDBC,17.52,NEUTRAL,-1,12.5,2,3,2.46,43.99,43.99,43.99,30.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +27.9% | RSI=55.3 (bearish zone),1,1,-1,-1,-1,0,0,0
EMB,93.97,WEAK BUY,2,25.0,2,0,0.12,8.7,8.7,8.7,11.0,12-1mo return: +11.5% | MACD bullish crossover,0,1,0,1,0,0,0,0
SLV,65.79,BUY,3,37.5,3,0,-3.45,117.13,117.13,117.13,60.7,12-1mo return: +148.6% | RSI=38.5 (bullish zone) | MACD line above signal,0,1,1,1,0,0,0,0
GLD,429.41,BUY,3,37.5,3,0,-1.92,40.51,40.51,40.51,37.3,12-1mo return: +54.4% | RSI=38.0 (bullish zone) | MACD bullish crossover,0,1,1,1,0,0,0,0
DBC,29.33,NEUTRAL,-1,12.5,2,3,2.27,44.09,44.09,44.09,29.9,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +28.4% | RSI=55.2 (bearish zone),1,1,-1,-1,-1,0,0,0
UNG,11.35,NEUTRAL,-1,12.5,2,3,-0.61,-29.02,-29.02,-29.02,49.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -26.3% | RSI=31.4 (bullish zone),-1,-1,1,-1,1,0,0,0
WEAT,22.87,NEUTRAL,1,12.5,2,1,0.18,0.31,0.31,0.31,32.2,Price > SMA50 > SMA200 (uptrend) | RSI=42.8 (bullish zone) | MACD line below signal,1,0,1,-1,0,0,0,0
CORN,18.19,BUY,3,37.5,4,1,0.06,0.17,0.17,0.17,18.7,Price > SMA50 > SMA200 (uptrend) | RSI=39.7 (bullish zone) | MACD line below signal,1,0,1,-1,1,0,0,1
IEMG,69.56,WEAK BUY,2,25.0,2,0,-1.02,24.76,24.76,24.76,32.3,12-1mo return: +30.0% | MACD bullish crossover,0,1,0,1,0,0,0,0
