symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
BTC-USD,66996.1094,NEUTRAL,-1,12.5,2,3,0.16,-36.58,-36.58,-36.58,35.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -39.8% | RSI=39.0 (bullish zone),-1,-1,1,-1,1,0,0,0
ADA-USD,0.2455,NEUTRAL,-1,12.5,2,3,2.57,-66.01,-66.01,-66.01,53.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.6% | RSI=38.9 (bullish zone),-1,-1,1,-1,1,0,0,0
SOL-USD,79.9809,WEAK SELL,-2,25.0,2,4,1.3,-51.99,-51.99,-51.99,49.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -52.3% | RSI=32.2 (bullish zone),-1,-1,1,-1,1,0,0,-1
AVAX-USD,8.9512,NEUTRAL,-1,12.5,2,3,2.28,-59.76,-59.76,-59.76,52.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=40.9 (bullish zone),-1,-1,1,-1,1,0,0,0
XRP-USD,1.3216,NEUTRAL,-1,12.5,2,3,0.22,-41.11,-41.11,-41.11,39.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -55.8% | RSI=28.6 (oversold),-1,-1,1,-1,1,0,0,0
LTC-USD,52.9992,NEUTRAL,-1,12.5,2,3,1.41,-43.07,-43.07,-43.07,36.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -51.5% | RSI=37.5 (bullish zone),-1,-1,1,-1,1,0,0,0
BNB-USD,587.0718,NEUTRAL,-1,12.5,2,3,0.67,-13.05,-13.05,-13.05,28.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -17.3% | RSI=28.4 (oversold),-1,-1,1,-1,1,0,0,0
LINK-USD,8.7159,NEUTRAL,-1,12.5,2,3,1.01,-42.05,-42.05,-42.05,49.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -50.6% | RSI=43.4 (bullish zone),-1,-1,1,-1,1,0,0,0
ETH-USD,2063.157,NEUTRAL,-1,12.5,1,2,0.31,-21.63,-21.63,-21.63,54.4,12-1mo return: -44.1% | RSI=43.5 (bullish zone) | MACD line below signal,0,-1,1,-1,0,0,0,0
DOT-USD,1.2567,NEUTRAL,-1,12.5,2,3,1.65,-71.05,-71.05,-71.05,60.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -64.5% | RSI=12.9 (oversold),-1,-1,1,-1,1,0,0,0
ATOM-USD,1.7132,NEUTRAL,0,0.0,2,2,2.87,-62.86,-62.86,-62.86,39.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -61.0% | RSI=34.0 (bullish zone),-1,-1,1,1,0,0,0,0
DOGE-USD,0.0914,WEAK SELL,-2,25.0,1,3,1.15,-57.45,-57.45,-57.45,42.9,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -59.3% | RSI=43.8 (bullish zone),-1,-1,1,-1,0,0,0,0
UNI7083-USD,3.2164,NEUTRAL,-1,12.5,3,4,1.34,-50.95,-50.95,-50.95,61.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -62.0% | RSI=35.8 (bullish zone),-1,-1,1,-1,1,1,0,-1
FIL-USD,0.8496,SELL,-3,37.5,1,4,4.04,-69.23,-69.23,-69.23,69.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -67.3% | RSI=42.7 (bullish zone),-1,-1,1,-1,0,0,0,-1
